question,answer
What is the minimum attendance required?,Students are generally required to maintain at least 75% attendance.
How can I check my attendance?,You can check your attendance through the university student portal or official student app.
What happens if my attendance is below 75 percent?,"If your attendance is below the required limit, you may be detained from examinations. Contact your department for guidance."
How can I apply for hostel accommodation?,Hostel applications can usually be submitted through the student portal or hostel office.
How can I check hostel availability?,You can check hostel availability by contacting the hostel office or checking the student portal.
What are the hostel rules?,"Hostel residents must follow rules related to entry timings, attendance, visitors, cleanliness, and discipline."
How can I pay my semester fees?,Semester fees can be paid online through the university portal.
What should I do if my fee payment fails?,"If payment fails, wait for some time and check the status. Contact the accounts department with your transaction ID if needed."
How can I download my fee receipt?,You can download the fee receipt from the payment or accounts section of the student portal.
Where can I find the examination schedule?,The examination schedule is published on the student portal and department notice board.
How can I download my admit card?,Open the examination section of the student portal to download your admit card.
What should I do if there is an error in my admit card?,Report admit card errors to the examination department before the exam date.
How can I check my examination result?,Examination results can be checked through the result section of the student portal.
How can I apply for revaluation?,Revaluation applications are submitted through the examination portal within the announced deadline.
What is the process for a supplementary exam?,Students who fail or miss an exam may apply for a supplementary examination according to university rules.
How can I contact the placement cell?,"You can contact the placement cell through official email, placement portal, or placement office."
How can I register for placement drives?,Placement drive registration is usually completed through the placement portal.
What documents are required for placement?,"Common placement documents include resume, ID card, mark sheets, certificates, and passport-size photographs."
How can I reset my student portal password?,Use the forgot-password option or contact the university IT helpdesk.
What should I do if the student portal is not working?,"If the portal is not working, check your internet connection and try again later. Contact the IT helpdesk if the issue continues."
How can I get my university ID card?,University ID cards are issued after admission verification. Contact student services if your card is delayed.
What should I do if I lose my ID card?,Report the lost ID card to student services and apply for a duplicate card.
What services are available in the library?,"The library provides books, journals, e-resources, reading spaces, and issue-return facilities."
How can I issue a library book?,Present your university ID card at the library issue counter or use the digital library system.
What happens if I return a library book late?,Late return of books may result in a fine according to library rules.
How do I register for a course?,Course registration is completed through the student portal during the registration period.
What should I do if I have a timetable clash?,Report timetable clashes to your programme coordinator or academic department.
How can I apply for leave?,Submit a leave application through the prescribed process and inform your class coordinator.
How can I contact my faculty mentor?,You can contact your faculty mentor through official university email or during mentoring hours.
Where can I find my class timetable?,The class timetable is available on the student portal or department notice board.
How can I join a student club?,Contact the club coordinator or register through the student activities portal.
How can I apply for a scholarship?,Scholarship applications are submitted through the scholarship portal along with required documents.
What documents are required for admission?,"Common admission documents include mark sheets, identity proof, photographs, transfer certificate, and migration certificate."
How can I get a bonafide certificate?,You can apply for a bonafide certificate through student services or the university portal.
How can I apply for an internship letter?,Contact your department or training and placement office to request an internship permission or recommendation letter.
